PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.22: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=2 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.66 icmp_seq=1 Destination Host Unreachable
From 192.168.10.66 icmp_seq=3 Destination Host Unreachable
From 192.168.10.66 icmp_seq=4 Destination Host Unreachable
From 192.168.10.22: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=202 ttl=51 time=25.5 ms
1240 bytes from 198.51.100.100: icmp_seq=203 ttl=51 time=34.1 ms
1240 bytes from 198.51.100.100: icmp_seq=204 ttl=51 time=57.7 ms
1240 bytes from 198.51.100.100: icmp_seq=207 ttl=51 time=55.7 ms
1240 bytes from 198.51.100.100: icmp_seq=208 ttl=51 time=35.5 ms
1240 bytes from 198.51.100.100: icmp_seq=209 ttl=51 time=64.1 ms
1240 bytes from 198.51.100.100: icmp_seq=210 ttl=51 time=51.0 ms
1240 bytes from 198.51.100.100: icmp_seq=211 ttl=51 time=48.6 ms
1240 bytes from 198.51.100.100: icmp_seq=213 ttl=51 time=48.4 ms
1240 bytes from 198.51.100.100: icmp_seq=217 ttl=51 time=26.8 ms
1240 bytes from 198.51.100.100: icmp_seq=218 ttl=51 time=34.1 ms
1240 bytes from 198.51.100.100: icmp_seq=219 ttl=51 time=42.6 ms
1240 bytes from 198.51.100.100: icmp_seq=220 ttl=51 time=70.9 ms
1240 bytes from 198.51.100.100: icmp_seq=221 ttl=51 time=104 ms
1240 bytes from 198.51.100.100: icmp_seq=223 ttl=51 time=169 ms
1240 bytes from 198.51.100.100: icmp_seq=227 ttl=51 time=26.3 ms
1240 bytes from 198.51.100.100: icmp_seq=228 ttl=51 time=57.4 ms
1240 bytes from 198.51.100.100: icmp_seq=229 ttl=51 time=46.0 ms
1240 bytes from 198.51.100.100: icmp_seq=231 ttl=51 time=26.6 ms
1240 bytes from 198.51.100.100: icmp_seq=233 ttl=51 time=35.2 ms
